experiment,split,MAE,MSLE,MaxError
LinearRegression,test,2.658015292587603,3.0989389634000563e-06,13.227373354398196
LinearRegression,train,2.526689780924773,2.846612711626788e-06,13.920236230210548
LinearRegression_transform,test,2.6308006504505035,3.1095846331657215e-06,13.336480718906387
LinearRegression_transform,train,2.4959708348412097,2.848847042654243e-06,14.054628860004414
Ridge_alpha_10,test,2.658064874749988,3.0989032803010145e-06,13.226031377106438
Ridge_alpha_10,train,2.52667790041037,2.8466125982762384e-06,13.91780592162604
Ridge_alpha_100,test,2.6585042025067476,3.0986401176802695e-06,13.214140651797834
Ridge_alpha_100,train,2.5265726319129342,2.8466669232841747e-06,13.896271926999816
Ridge_alpha_100_transform,test,2.6307025339465873,3.1084708612377664e-06,13.307892148727433
Ridge_alpha_100_transform,train,2.4946925926462096,2.8486738733529873e-06,14.002702573842043
Ridge_alpha_10_transform,test,2.630790281456508,3.1094436287861526e-06,13.333534682737763
Ridge_alpha_10_transform,train,2.495838798804654,2.848801671004078e-06,14.049278737968962
Ridge_default,test,2.658020257823143,3.098935335363514e-06,13.227238966685718
Ridge_default,train,2.5266885911913644,2.8466126432094956e-06,13.919992855293685
Ridge_default_transform,test,2.6307996077015443,3.109570217524682e-06,13.336185214164743
Ridge_default_transform,train,2.4959575875941904,2.8488422060329324e-06,14.054092220159191
