experiment,split,R2_score,MAE,MSLE,D2_absolute_error
LinearRegression,test,0.12428521103277668,2.5498051186139,2.9095901186558114e-06,0.058632554693554995
LinearRegression,train,0.13126087408531784,2.4458648947024284,2.6966637504152363e-06,0.05189477018831301
LinearRegression + transform,test,0.13854899896121453,2.5216390971997513,2.9077878183102974e-06,0.06903122219544533
LinearRegression + transform,train,0.14513746938385097,2.414898715437567,2.692916171424203e-06,0.06389837536368115
Ridge_alpha_1.0,test,0.12426925311332282,2.5498380563675846,2.909642972573764e-06,0.05862039434105837
Ridge_alpha_1.0,train,0.13126082088602398,2.445868100751437,2.69666384087183e-06,0.051893527408371054
Ridge_alpha_10.0,test,0.1241312080502116,2.550118574347829,2.9101001482206927e-06,0.05851682936956404
Ridge_alpha_10.0,train,0.1312560957341118,2.445898903552696,2.6966777889962444e-06,0.05188158713438873
Ridge_alpha_100.0,test,0.12312159613931895,2.5521488220156683,2.9134412951597685e-06,0.05776727833663953
Ridge_alpha_100.0,train,0.1310341961568271,2.446269488809398,2.697357390004855e-06,0.05173793495608103
Ridge_transform_alpha_1.0,test,0.13854766034033894,2.521661728373966,2.9077886615255774e-06,0.06902286694880344
Ridge_transform_alpha_1.0,train,0.14513744701433284,2.4149029857605333,2.6929130111588263e-06,0.06389672003286295
Ridge_transform_alpha_10.0,test,0.1385340745358732,2.5218644162787274,2.9078010836937506e-06,0.06894803621224754
Ridge_transform_alpha_10.0,train,0.14513525209181877,2.414942484746666,2.6928904668251274e-06,0.06388140880475479
Ridge_transform_alpha_100.0,test,0.138256703317433,2.524024228112653,2.908370554660411e-06,0.06815065113618712
Ridge_transform_alpha_100.0,train,0.14493361882005573,2.4157406662800214,2.693197296952547e-06,0.06357200492568016
