experiment,split,MAE,MSLE,MaxError
LinearRegression,test,2.658015292587589,3.0989389634000563e-06,13.227373354398196
LinearRegression,train,2.526689780924753,2.846612711626788e-06,13.920236230210548
LinearRegression_transform,test,2.6308006504505035,3.1095846331657215e-06,13.336480718906387
LinearRegression_transform,train,2.4959708348412097,2.848847042654243e-06,14.054628860004414
Ridge_alpha_10,test,2.5501185743478008,2.9101001482207186e-06,13.001190347064949
Ridge_alpha_10,train,2.445898903552627,2.696677788996256e-06,14.036781588389886
Ridge_alpha_100,test,2.5521488220156994,2.913441295159736e-06,13.016779834002136
Ridge_alpha_100,train,2.446269488809436,2.6973573900048535e-06,14.041509847222414
Ridge_alpha_100_transform,test,2.524024228112653,2.908370554660408e-06,13.083619835161926
Ridge_alpha_100_transform,train,2.4157406662800214,2.6931972969525464e-06,13.9912704078356
Ridge_alpha_10_transform,test,2.521864416278728,2.9078010836937523e-06,13.102916613539719
Ridge_alpha_10_transform,train,2.414942484746667,2.6928904668251346e-06,14.066524348116218
Ridge_default,test,2.5498380563675878,2.9096429725737713e-06,12.998381986703407
Ridge_default,train,2.4458681007514276,2.6966638408718435e-06,14.034841883484205
Ridge_default_transform,test,2.5216617283739664,2.9077886615255863e-06,13.104875712280773
Ridge_default_transform,train,2.4149029857605337,2.692913011158825e-06,14.074382736220514
