experiment,split,R2_score,MAE,MSLE,MaxError,D2_absolute_error
LinearRegression,test,0.06722399345536323,2.658015292587589,3.0989389634000563e-06,13.227373354398196,0.018682232888117323
LinearRegression,train,0.08288359520915367,2.526689780924753,2.846612711626788e-06,13.920236230210548,0.020564136393986576
LinearRegression_transform,test,0.07640194869216765,2.6308006504505035,3.1095846331657215e-06,13.336480718906387,0.028729658848829165
LinearRegression_transform,train,0.09319594135311082,2.4959708348412097,2.848847042654243e-06,14.054628860004414,0.03247190509339137
Ridge_alpha_10,test,0.12413120805020872,2.5501185743478008,2.9101001482207186e-06,13.001190347064949,0.058516829369574475
Ridge_alpha_10,train,0.1312560957341078,2.445898903552627,2.696677788996256e-06,14.036781588389886,0.051881587134415375
Ridge_alpha_100,test,0.12312159613932083,2.5521488220156994,2.913441295159736e-06,13.016779834002136,0.05776727833662809
Ridge_alpha_100,train,0.1310341961568242,2.446269488809436,2.6973573900048535e-06,14.041509847222414,0.05173793495606627
Ridge_alpha_100_transform,test,0.138256703317433,2.524024228112653,2.908370554660408e-06,13.083619835161926,0.06815065113618712
Ridge_alpha_100_transform,train,0.14493361882005573,2.4157406662800214,2.6931972969525464e-06,13.9912704078356,0.06357200492568016
Ridge_alpha_10_transform,test,0.1385340745358732,2.521864416278728,2.9078010836937523e-06,13.102916613539719,0.06894803621224743
Ridge_alpha_10_transform,train,0.14513525209181877,2.414942484746667,2.6928904668251346e-06,14.066524348116218,0.06388140880475435
Ridge_default,test,0.12426925311332315,2.5498380563675878,2.9096429725737713e-06,12.998381986703407,0.05862039434105715
Ridge_default,train,0.13126082088602087,2.4458681007514276,2.6966638408718435e-06,14.034841883484205,0.05189352740837461
Ridge_default_transform,test,0.13854766034033894,2.5216617283739664,2.9077886615255863e-06,13.104875712280773,0.06902286694880322
Ridge_default_transform,train,0.14513744701433284,2.4149029857605337,2.692913011158825e-06,14.074382736220514,0.06389672003286284
