experiment,split,R2_score,D2_absolute_error
LinearRegression,test,0.06722399345536323,0.018682232888117323
LinearRegression,train,0.08288359520915367,0.020564136393986576
LinearRegression_transform,test,0.07640194869216765,0.028729658848829165
LinearRegression_transform,train,0.09319594135311082,0.03247190509339137
Ridge_alpha_10,test,0.12413120805020872,0.058516829369574475
Ridge_alpha_10,train,0.1312560957341078,0.051881587134415375
Ridge_alpha_100,test,0.12312159613932083,0.05776727833662809
Ridge_alpha_100,train,0.1310341961568242,0.05173793495606627
Ridge_alpha_100_transform,test,0.138256703317433,0.06815065113618712
Ridge_alpha_100_transform,train,0.14493361882005573,0.06357200492568016
Ridge_alpha_10_transform,test,0.1385340745358732,0.06894803621224743
Ridge_alpha_10_transform,train,0.14513525209181877,0.06388140880475435
Ridge_default,test,0.12426925311332315,0.05862039434105715
Ridge_default,train,0.13126082088602087,0.05189352740837461
Ridge_default_transform,test,0.13854766034033894,0.06902286694880322
Ridge_default_transform,train,0.14513744701433284,0.06389672003286284
