experiment,split,R2_score,D2_absolute_error
LinearRegression,test,0.06722399345536689,0.018682232888112216
LinearRegression,train,0.08288359520915434,0.020564136393978805
LinearRegression_transform,test,0.07640194869216765,0.028729658848829165
LinearRegression_transform,train,0.09319594135311082,0.03247190509339137
Ridge_alpha_10,test,0.06723444862342876,0.018663927554423587
Ridge_alpha_10,train,0.08288339070778183,0.02056874170879519
Ridge_alpha_100,test,0.06731108891317794,0.018501731296751256
Ridge_alpha_100,train,0.08286371124370495,0.020609547565721087
Ridge_alpha_100_transform,test,0.07654673069211593,0.028765882669214426
Ridge_alpha_100_transform,train,0.09309389251146705,0.032967397756404226
Ridge_alpha_10_transform,test,0.07642534675516932,0.02873348699762246
Ridge_alpha_10_transform,train,0.09319485725380228,0.03252308701151507
Ridge_default,test,0.06722505695325587,0.018680399763273958
Ridge_default,train,0.08288359315834815,0.020564597577451993
Ridge_default_transform,test,0.07640438359760715,0.028730043823318674
Ridge_default_transform,train,0.09319593044525543,0.03247704020294173
